key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,excl_reason,labels,decision_c1,decision_c2,agreement
rayyan-1093296591,Making sense of blood glucose data and self-management in individuals        with type 2 diabetes mellitus: A qualitative study,2020,7,"",JOURNAL OF CLINICAL NURSING,0962-1067,29,13,2572-2588,"Despins, LA and Wakefield, BJ and Despins, Laurel A. and Wakefield, Bonnie J.","",English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Aims and objectives To describe individuals' with type 2 diabetes mellitus sense-making of blood glucose data and other influences impacting self-management behaviour.        Background Type 2 diabetes mellitus prevalence is increasing globally. Adherence to effective diabetes self-management regimens is an ongoing healthcare challenge. Examining individuals' sense-making processes can advance staff knowledge of and improve diabetes self-management behaviour.        Design A qualitative exploratory design examining how individuals make sense of blood glucose data and symptoms, and the influence on self-management decisions.        Methods Sixteen one-on-one interviews with adults diagnosed with type 2 diabetes mellitus using a semi-structured interview guide were conducted from March-May 2018. An inductive-deductive thematic analysis of data using the Sensemaking Framework for Chronic Disease Self-Management was used. The consolidated criteria for reporting qualitative research (COREQ) checklist were used in completing this paper.        Results Three main themes described participants' type 2 diabetes mellitus sense-making and influences on self-management decisions: classifying blood glucose data, building mental models and making self-management decisions. Participants classified glucose levels based on prior personal experiences. Participants learned about diabetes from classes, personal experience, health information technology and their social network. Seven participants expressed a need for periodic refreshing of diabetes knowledge.        Conclusion Individuals use self-monitored glucose values and/or HbA1C values to evaluate glucose control. When using glucose values, they analyse the context in which the value was obtained through the lens of personal parameters and expectations. Understanding how individuals make sense of glycaemic data and influences on diabetes self-management behaviour with periodic reassessment of this understanding can guide the healthcare team in optimising collaborative individualised care plans.        Relevance to clinical practice Nurses must assess sense-making processes in self-management decisions. Periodic """"refresher"""" diabetes education may be needed for individuals with type 2 diabetes mellitus.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health",10.1111/jocn.15280     EA APR 2020,GLYCEMIC CONTROL;PHYSICAL-ACTIVITY;ADULTS;EFFICACY;DISEASE;METAANALYSIS;SENSEMAKING;TECHNOLOGY;INTERVIEWS;BEHAVIORS;Blood Glucose;Glucose,,,5_adresses_government_health,,Excluded,Excluded,1
rayyan-1093296592,Patients as qualitative data analysts: Developing a method for a process        evaluation of the 'Improving the Safety and Continuity of Medicines        management at care Transitions' (ISCOMAT) cluster randomised control        trial,2021,8,"",HEALTH EXPECTATIONS,1369-6513,24,4,1254-1262,"Powell, C and Ismail, H and Cleverley, R and Taylor, A and Breen, L and Fylan, B and Alderson, SL and Alldred, DP and Powell, Catherine and Ismail, Hanif and Cleverley, Richard and Taylor, Andrew and Breen, Liz and Fylan, Beth and Alderson, Sarah L. and Alldred, David P. and ISCOMAT Programme Team","",English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Background How to meaningfully partner with patients as data analysts remains obscure. A process evaluation of the 'Improving the Safety and Continuity Of Medicines management at care Transitions' (ISCOMAT) cluster randomised control trial of an intervention for improving medicines use for people living with heart failure is being conducted. The intervention includes patient held information on heart medicines and care, enhanced communication between hospital and community pharmacists, and increased engagement of community pharmacists with patient care post-hospital discharge. ISCOMAT patients living with heart failure were interviewed about experiences with the intervention. We sought to gain insights from patients on data collected to enhance our understanding of experiences with the intervention.        Objective To develop a method for involving patients as analysts of qualitative data in a process evaluation.        Design Patients and researchers co-analysed qualitative data. A framework method was applied involving; familiarisation, coding, developing an analytical framework and interpretation. The process was facilitated through home working and a workshop with a training component.        Results The co-designed framework enabled researchers to map all further patient interview data. Patients' specialist knowledge enhanced understanding of how the ISCOMAT intervention can be best implemented.        Conclusions Patients' unique experiences can enhance validity and rigour in data analysis through sharing their interpretations of qualitative data. The involvement process is crucial in elucidating knowledge and avoiding tokenism. As analysts, patients gain an appreciation of research processes, building trust between researchers and patients. Group dynamics and involving patients throughout the whole research process are important considerations.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using,5_adresses_government_health",10.1111/hex.13257     EA MAY 2021,PUBLIC INVOLVEMENT;FRAMEWORK;KNOWLEDGE,,,"1 not sharing/ not using,5_adresses_government_health",,Excluded,Excluded,1
rayyan-1093296593,ISSUES FOR CONSIDERATION WHEN CHOOSING A QUALITATIVE DATA        MANAGEMENT-SYSTEM,1993,11,"",JOURNAL OF ADVANCED NURSING,0309-2402,18,11,1806-1816,"RUSSELL, CK and GREGORY, DM and RUSSELL, CK and GREGORY, DM","",English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","A primary issue in conducting qualitative research is the time required for data analysis. Qualitative research can be costly, since data analysis is generally labour intensive and our time factors into money. There is, unfortunately, no magic formula for hastening the conceptual tasks associated with qualitative analysis, yet effective qualitative data management systems (QDMS) expedite the mechanical tasks, those tasks associated with storing and retrieving qualitative data. Rapid and smooth data management increases the time one can allot to data analysis. Although computer QDMS are increasingly recommended for their time-saving potential in relation to data management, some significant issues associated with the adoption of a computer versus a manual QDMS have not yet been fully explored. The purpose of this paper is to present major issues researchers should consider in choosing a computer or a manual QDMS. These issues include availability and accessibility, comfort, appropriateness, efficiency, thoroughness and contextualization.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000",10.1046/j.1365-2648.1993.18111806.x,"",,,_before 2000,,Excluded,Excluded,1
rayyan-1093296594,"Timescapes secondary analysis: comparison, context and working across        data sets",2012,2,"",QUALITATIVE RESEARCH,1468-7941,12,1,66-80,"Irwin, S and Bornat, J and Winterton, M and Irwin, Sarah and Bornat, Joanna and Winterton, Mandy","",English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","The article illustrates some of the strategies we are developing in the secondary analysis of Timescapes data and seeks to draw some general lessons for qualitative data analysts. We focus on three different areas of work. Across all of these we examine the potential explanatory value of working with data in a comparative way, and engage with some challenges presented by contextual specificity in the way qualitative data are generated. In the first area we consider the issue of how we situate qualitative data with reference to diversity across the population, and use an example of working between a single qualitative Timescapes data set and survey data. Understanding how qualitative data are situated offers a framework for internal comparison which maps onto wider diversity. In the second area we consider the outcome of bringing together primary researchers whose comparison of project data, as secondary analysts, allow them to 'hear silences' and, therefore, re-interrogate their own data within a revised conceptual framework. In the third area we describe how, as secondary analysts, we have worked across Timescapes data sets. Here we consider the challenges of undertaking secondary analysis across diverse, project specific, research contexts, and the potential of comparative working across data sets for enhancing understanding.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included"""", """"Rümeysa""""=>""""Included""""}",10.1177/1468794111426234,CHOICE,,,,,Included,Included,1
rayyan-1093296595,Terms of engagement for working with patients in a person-centred        partnership: A secondary analysis of qualitative data,2022,1,"",HEALTH & SOCIAL CARE IN THE COMMUNITY,0966-0410,30,1,330-340,"Westlake, D and Ekman, I and Britten, N and Lloyd, H and Westlake, Debra and Ekman, Inger and Britten, Nicky and Lloyd, Helen","",English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Evidence is emerging of the potential of person-centred approaches to create partnerships between professionals and patients while also containing healthcare costs. This is important for enhancing outcomes in individuals with complex needs, who consistently report poor experiences with care. The shift towards person-centred care (PCC) is, however, a radical departure from the norm, with increased expectations of both professional and patient. Although there have been studies on the ways in which health care professionals can modify practice to enhance PCC, not all patients welcome changes to their care delivery or understand the aim of the new approach. Without engagement and understanding from the patient, a PCC approach will fail to initiate. Few studies explore how, why and in what circumstances patients become more involved in their care and what professionals can do to enhance participation. We conducted a secondary analysis of qualitative data to examine this issue. Data were collected between 2014 and 2018 from primary care-based PCC projects across the southwest of England. Supported by people with experience (practitioners and those receiving treatment), theory building workshops developed an explanatory framework that identified contextual factors and mechanisms likely to contribute to effective engagement. Our results show that engagement in a care partnership is achieved through trust and a patient's sense of candidacy. Shared understanding of purpose, clarity of expectations and power sharing were found to facilitate trusted relationships between professional and patient and encourage candidacy. Only then is it possible to develop goals that are meaningful to the patient. Our theory of engagement applies to professionals and patients alike but places the initial burden of responsibility on those who hold the most power: the professional and the system. This theory has the potential to explain patient engagement in PCC and a range of other service interventions, treatments and intervention research.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health",10.1111/hsc.13406     EA MAY 2021,CARE;EMPOWERMENT;MECHANISMS;DOCTOR,,,5_adresses_government_health,,Excluded,Excluded,1
rayyan-1093296596,Graphical Retrieval and Analysis of Temporal Information Systems        (GRATIS): An Integrative Mixed Methodology and Open-Access Software to        Analyze the (Non-)Linear Chronological Evolution of Information Embedded        in Textual/Qualitative Data,2023,,APR,JOURNAL OF MIXED METHODS RESEARCH,1558-6898,,,"","Canche, MSG and Canche, Manuel S. Gonzalez","",English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA","Like a video that reveals much more than a single photo, the incorporation of time to the analysis of qualitative evidence promotes contextualized understandings and allows research participants and readers to interactively review the processes and rationale that researchers followed to craft their findings and conclusions. However, mixed methods and qualitative methodologies available today forfeit the nuances gained by analyzing the chronological/temporal evolution of processes. We contribute to mixed methods research by introducing graphical retrieval and analysis of temporal information systems (GRATIS), a methodology (and open-access software) designed to visualize and analyze the time-based richness embedded in all qualitative/textual data. GRATIS employs dynamic network visualizations and data science mining/retrieval tools to combat the assumption that longitudinal studies require large timespans. We showcase how all qualitatively- or machine-learning-coded textual data may be analyzed with no extra feature engineering (i.e., data cleaning or preparation), rendering fully integrative/interactive outputs that strengthen the transparency of our findings and conclusions and open the """"analytic black box"""" that characterizes most of mixed methods and qualitative studies to date. GRATIS contributes to democratizing data science by removing financial and computer programming barriers to benefit from data science applications. All data and software to replicate the analyses are provided with this submission.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using",10.1177/15586898231166968     EA APR 2023,COMPLEX-SYSTEMS;Information Systems;Software,,,1 not sharing/ not using,,Excluded,Excluded,1
rayyan-1093296597,Contesting constructs and interrogating research methods: Re-analysis of        qualitative data from a hospital-based case study of self-harm        management and prevention practices,2021,,AUG,HEALTH,1363-4593,,,"","Evans, R and Sampson, C and MacDonald, S and Biddle, L and Scourfield, J and Evans, Rhiannon and Sampson, Catherine and MacDonald, Sarah and Biddle, Lucy and Scourfield, Jonathan","",English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","Discourses of self-harm, and also suicide, are often underpinned by a central tenet: prevention is the priority. This belief is seemingly so inscribed in research that it is rarely interrogated. The present paper re-analyses qualitative data from a hospital-based study of self-harm management and prevention practice. It aims to reflect upon, and disrupt, the authors' latent assumptions about the construct of 'prevention', while reflecting on the research method used. Twenty-five individuals participated in semi-structured interviews: healthcare and affiliated professionals (n = 14); parents and carers (n = 8); and children and young people (aged 9-16 years) who had presented to an emergency department for self-harm, with or without suicidal intent (n = 3). We offer two central discursive considerations: (1) Self-harm prevention is largely an unintelligible concept, having to be reflexively constructed in situ. As such, it is questionable whether it makes sense to discuss the prevention of this amorphous and dynamic phenomenon, which cannot always be disentangled from everyday life; (2) Interviews entail significant biographical work for participants, notably the performance of personal and professional competence for the audience. These interactional dynamics offer a glimpse into the priorities, meanings and needs for participants in relation to self-harm. Together these considerations provide useful insights into how the interview method can serve as both a limiting and illuminating site of knowledge creation.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using,5_adresses_government_health",10.1177/13634593211038522     EA AUG 2021,SUICIDE-PREVENTION;INTERVIEW;PEOPLE;CARE;EXPERIENCES;ATTITUDES;SOCIETY;STAFF;Case-Control Studies,,,"1 not sharing/ not using,5_adresses_government_health",,Excluded,Excluded,1
rayyan-1093296598,AN APPROACH TO THE MANAGEMENT AND CODING OF QUALITATIVE DATA USING        MICROCOMPUTERS,1992,10,"",INDIAN JOURNAL OF SOCIAL WORK,0019-5634,53,4,611-620,"GITTELSOHN, J and GITTELSOHN, J","",English,TATA INST SOCIAL SCIENCE P O BOX 8313,"DEPT PUBLICATIONS SION-TROMBAY ROAD, DEONAR BOMBAY400088, INDIA",Social scientists are increasingly asked to contribute to action-research projects using their skills as qualitative researchers. The large volume of textual data produced by even a fairly small qualitative study poses special problems in terms of data management. Recent advances in the use of microcomputers for qualitative data management and analysis provide at least a partial solution. The paper describes an effective method for managing qualitative data on microcomputers using textual data management software and incorporating appropriate coding procedures.,"RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000","",Microcomputers,,,_before 2000,,Excluded,Excluded,1
rayyan-1093296599,'She believed in me'. What patients with depression value in their        relationship with practitioners. A secondary analysis of multiple        qualitative data sets,2017,2,"",HEALTH EXPECTATIONS,1369-6513,20,1,85-97,"Percival, J and Donovan, J and Kessler, D and Turner, K and Percival, John and Donovan, Jenny and Kessler, David and Turner, Katrina","",English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Background Clinical guidance promotes the practitioner-patient relationship as integral to good quality person-centred care for patients with depression. However, patients can struggle to engage with practitioners and practitioners have indicated that they want more guidance on how to establish effective relationships with their patients.        Objective To identify what practitioner attributes patients with depression particularly value or find problematic.        Method A secondary analysis of data collected during four qualitative studies, all of which entailed interviewing patients diagnosed with depression about their treatment experiences. Patients in the four studies had received different treatments. These included antidepressants, cognitive behaviour therapy, facilitated physical activity and listening visits. We thematically analysed 32 patient accounts.        Results We identified two complimentary sets of important practitioner attributes: the first based on the practitioner's bearing; the second based on the practitioner's enabling role. We found that patients value practitioners who consider their individual manner, share relevant personal information, show interest and acceptance, communicate clearly and listen carefully, collaborate on manageable goals and sanction greater patient self-care and self-compassion. It was also evident that patients receiving different treatments value the same practitioner attributes and that when these key practitioner qualities were not evident, patients were liable not to re-attend or comply with treatment.        Conclusion The practitioner attributes that patients with depression most value have a positive impact on their engagement with treatment. Patients emphasise the importance of a practitioner's demeanour and encouragement, rather than the amount of time or specific treatment a practitioner is able to provide.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using,5_adresses_government_health",10.1111/hex.12436,THERAPEUTIC ALLIANCE;SELF-COMPASSION;PRIMARY-CARE;GENERAL-PRACTICE;CONSULTATIONS;DISCLOSURE;PEOPLE;ISSUES,,,"1 not sharing/ not using,5_adresses_government_health",,Excluded,Excluded,1
rayyan-1093296600,Military Veterans' Perspectives on Postoperative Opioid Use: A Secondary        Analysis of Qualitative Data,2023,6,"",JOURNAL OF PERIANESTHESIA NURSING,1089-9472,38,3,483-487,"Conrad, M and Steffensmeier, KS and Van Tiem, J and Obrecht, A and Mares, J and Mosher, HJ and Vander Weg, MW and Sibenaller, Z and Stout, L and Patel, P and Hadlandsmyth, K and Conrad, Mandy and Steffensmeier, Kenda Stewart and Van Tiem, Jennifer and Obrecht, Ashlie and Mares, Jasmine and Mosher, Hilary J. and Vander Weg, Mark W. and Sibenaller, Zita and Stout, Lori and Patel, Parimal and Hadlandsmyth, Katherine","",English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Purpose: This qualitative analysis of interviews with surgical patients who received a brief perioperative psy-chological intervention, in conjunction with standard medical perioperative care, elucidates patient perspec-tives on the use of pain self-management skills in relation to postoperative analgesics.Design: This study is a secondary analysis of qualitative data from a randomized controlled trial.Methods: Participants (N = 21) were rural-dwelling United States Military Veterans from a mixed surgical sample who were randomized to receive a manual-based, telephone-based Perioperative Pain Self -manage-ment intervention consisting of a total of four pre-and postoperative contacts. Semi-structured qualitative interviews elicited participant feedback on the cognitive-behavioral intervention. Data was analyzed by two qualitative experts using MAXQDA software. Key word analyses focused on mention of analgesics in interviews.Findings: Interviews revealed a dominant theme of ambivalence towards postoperative use of opioids. An additional theme concerned the varied ways acquiring pain self-management skills impacted postoperative opioid (and non-opioid analgesic) consumption. Participants reported that employment of pain self -manage-ment strategies reduced reliance on pharmacology for pain relief, prolonged the time between doses, took the """"edge off"""" pain, and increased pain management self-efficacy.Conclusions: Perioperative patient education may benefit from inclusion of teaching non-pharmacologic pain self-management skills and collaborative planning with patients regarding how to use these skills in con-junction with opioid and non-opioid analgesics. Perianesthesia nurses may be in a critical position to provide interdisciplinary postoperative patient education that may optimize postoperative pain management while minimizing risks associated with prolonged opioid use.Published by Elsevier Inc. on behalf of American Society of PeriAnesthesia Nurses.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using,5_adresses_government_health",10.1016/j.jopan.2022.09.006     EA MAY 2023,"POSTSURGICAL PAIN;MANAGEMENT;SURGERY;Military Personnel;Analgesics, Opioid;Veterans",,,"1 not sharing/ not using,5_adresses_government_health",,Excluded,Excluded,1
rayyan-1093296601,COMPUTER-FACILITATED QUALITATIVE DATA-ANALYSIS - POTENTIAL CONTRIBUTIONS        TO MANAGEMENT RESEARCH,1993,,"",JOURNAL OF MANAGEMENT,0149-2063,19,3,637-660,"WOLFE, RA and GEPHART, RP and JOHNSON, TE and WOLFE, RA and GEPHART, RP and JOHNSON, TE","",English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA","The development of software programs designed to facilitate qualitative data analysis has proliferated recently. Despite their potential to contribute much to management research, very little concerning the use of such programs has appeared in the management literature. The purpose of this paper is to review the current state Of computer-facilitated qualitative data analysis [CQDA] in order to contribute to its effective use by management researchers. In an effort to achieve this purpose we discuss why CQDA programs are proliferating, describe the potential of such programs to contribute to management research, address program capabilities and features, describe CQDA applications in management research, and review issues researchers should be aware of in considering the use of CQDA.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000",10.1177/014920639301900307,CORPORATE SOCIAL-RESPONSIBILITY;CONSTRUCTION;STRATEGY;Statistics as Topic,,,_before 2000,,Excluded,Excluded,1
rayyan-1093296602,"Consequences, control and appraisal: cues and barriers to engaging in        self-management among people affected by colorectal cancer - a secondary        analysis of qualitative data",2014,8,"",HEALTH EXPECTATIONS,1369-6513,17,4,565-578,"Kidd, LA and Kidd, Lisa A.","",English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Background Little is known about peoples' self-management experiences and their desires or expectations to engage in self-management. As such, there is little understanding about individuals' perceived cues and barriers to engagement in self-management, particularly in people affected by cancer.        Objective To understand cues and barriers to people's engagement in self-management during chemotherapy treatment for colorectal cancer.        Design Secondary analysis of qualitative data from mixed methods, longitudinal study.        Setting and participants Eleven participants undergoing treatment for colorectal cancer. Semi-structured interviews were conducted twice with each participant, at the start and end of a 6-month course of chemotherapy treatment in a Scottish cancer centre.        Results Cues and barriers to engagement in self-management appeared to stem from perceptions of the impact and associated severity of side effects experiences as well as the perceptions about the efficacy of chosen self-management activities and perceptions of control in minimizing the consequences of cancer treatment. Severe, episodic or unexpected side effects coupled with perceptions of uncertainty, lack of control and lack of adequate preparation to engage in self-management were identified as key barriers to engagement.        Discussion and conclusion Participants' reflection on, or appraisal of, their treatment-related experiences and personal abilities, confidence and preferences to manage the impact of these shaped their subsequent engagement in self-management. The findings highlight the importance of understanding individual's self-management experiences, perceptions, preferences, priorities and needs to help support, prepare and enable them to feel capable and confident to engage actively and effectively in self-management.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using,5_adresses_government_health",10.1111/j.1369-7625.2012.00785.x,CARE;DISEASE;STRATEGIES;Cues;Colorectal Neoplasms,,,"1 not sharing/ not using,5_adresses_government_health",,Excluded,Excluded,1
rayyan-1093296603,Story-sharing as a method of data collection in qualitative research,2012,1,"",JOURNAL OF CLINICAL NURSING,0962-1067,21,1,285-287,"Hayman, B and Wilkes, L and Jackson, D and Halcomb, E and Hayman, Brenda and Wilkes, Lesley and Jackson, Debra and Halcomb, Elizabeth","",English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using,5_adresses_government_health",10.1111/j.1365-2702.2011.04002.x,RECIPROCITY,,,"1 not sharing/ not using,5_adresses_government_health",,Excluded,Excluded,1
rayyan-1093296604,Doing qualitative field research in management accounting: Positioning        data to contribute to theory,2006,11,"",ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,31,8,819-841,"Ahrens, T and Chapman, CS and Ahrens, Thomas and Chapman, Christopher S.","",English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","In this paper we argue that theory, method, methodology, and knowledge gains in qualitative field studies are intertwined through the ongoing hypothesis development in the field. We develop our argument through a discussion of specific qualitative field studies in management accounting. We emphasise in particular the distinctive role of theory in qualitative research as relating to expression of a subjective reality more than clarification of an objective one. In considering this subjectivity we discuss the ways in which the doing of qualitative research brings to bear discipline on the researcher allowing us to assess the trustworthiness of their accounts. The intention is to develop a more appropriate basis for judging the plausibility of qualitative field studies than notions borrowed from positivistic methodology. (c) 2006 Elsevier Ltd. All rights reserved.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using",10.1016/j.aos.2006.03.007,CONTROL-SYSTEMS;ACCOUNTABILITY;STRUGGLES;HISTORY;BUDGET;POWER,,,1 not sharing/ not using,,Excluded,Excluded,1
rayyan-1093296605,Psychosocial needs of adolescents and young adults with eczema: A        secondary analysis of qualitative data to inform a behaviour change        intervention,2021,2,"",BRITISH JOURNAL OF HEALTH PSYCHOLOGY,1359-107X,26,1,214-231,"Ghio, D and Greenwell, K and Muller, I and Roberts, A and McNiven, A and Santer, M and Ghio, Daniela and Greenwell, Kate and Muller, Ingrid and Roberts, Amanda and McNiven, Abigail and Santer, Miriam","",English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Objectives This study aimed to explore adolescents and young adults' experiences of symptoms related to their eczema in order to determine their psychosocial needs. Design A secondary qualitative analysis of two data sources collected through semi-structured interviews for two different projects, SKINS project and Eczema Care Online project. Methods In total, there were 28 transcripts with adolescents and young adults with eczema having a mean age of 19.5 years available to analyse. Interview data were collected from face-to-face interviews that were recorded and transcribed. Inductive thematic analysis explored data about symptoms and organized according to psychosocial needs. Results Adolescents and young adults with eczema experience both visible symptoms (such as flaky, dry, and inflamed skin) and invisible symptoms (such as itch, pain, exhaustion, and mental distress) that elicit different psychosocial needs. These psychosocial needs are to (i) be understood; (ii) be perceived as normal; and (iii) receive emotional support. Interviewees described a struggle between wanting their peers and family to understand but take their eczema seriously whilst not wanting to stand out and instead to be perceived as 'normal', which they would define as being perceived as other adolescents. This has implications on behaviours, such as seeking support, avoiding going out, hiding their skin, as well as emotional implications, such as social isolation and feeling anxious and low. Conclusions Having a better understanding of young people's experiences and psychosocial needs will provide a framework on how best to support adolescents and young adults when managing symptoms related to eczema. Statement of contribution Whatisalready known on this subject? Eczema has a high impact on children and is considered a burden by children and adults with eczema. However, it is unclear what impact eczema has on adolescents and young adults. Adolescents and young adults with chronic conditions are known to be vulnerable to negative psychosocial outcomes but psychosocial needs and how to best support this age group with eczema are unknown Whatdoesthis add? Three psychosocial needs were developed from evaluating the impact of visible and invisible symptoms of eczema: The need to feel understood (mostly reflective of invisible symptoms such as itch and pain and visible symptoms such as scratching). The need to be perceived as 'normal': visible symptoms such as flaky, inflamed skin make them stand out in comparison with their peers and a need emerged to blend in. The need for emotional support: adolescents and young adults searched for this from their health care providers, from shared experiences and from online resources. Adolescents and young adults with eczema appear to feel ambivalent about wishing the impact of the condition to be acknowledged whilst wishing the condition to be invisible to others. This ambivalence had further impact on feeling self-conscious, seeking support, and dealing with unsolicited advice.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using",10.1111/bjhp.12467     EA AUG 2020,ATOPIC-DERMATITIS;SKIN-DISEASE;OF-LIFE;EPIDERMOLYSIS-BULLOSA;SUICIDAL IDEATION;HEALTH-CARE;CHILDREN;EXPERIENCES;PSORIASIS;PEOPLE;Adolescent;Eczema,,,1 not sharing/ not using,,Excluded,Excluded,1
rayyan-1093296606,Participatory theme elicitation: open card sorting for user led        qualitative data analysis,2022,3,4,INTERNATIONAL JOURNAL OF SOCIAL RESEARCH METHODOLOGY,1364-5579,25,2,213-231,"Best, P and Badham, J and McConnell, T and Hunter, RF and Best, Paul and Badham, Jennifer and McConnell, Tracey and Hunter, Ruth F.","",English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","Participatory Theme Elicitation (PTE) is a new approach to increasing user-involvement in qualitative data analysis. In this five-step method, participants independently identify themes in the data using open card sorting, and are supported in their development of a set of themes that reflect all participant views. We describe and evaluate PTE with a case study, where nine lay researchers identified five core themes in qualitative data from an online intervention with depressed adults. Total participation time was approximately 6 hours. Evaluation data revealed high levels of satisfaction with the PTE process and the themes generated. The strong commitment to public engagement in social science research and limited guidance on methods for effective participatory analysis of qualitative data highlight the value and growing need for robust standardised approaches such as PTE.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using",10.1080/13645579.2021.1876616     EA FEB 2021,Statistics as Topic,,,1 not sharing/ not using,,Excluded,Excluded,1
