authors,year,title,journal,abstract
"S Rädiker, U Kuckartz, S Rädiker",2019,Einleitung: Qualitative Daten mit Software analysieren,… Daten mit MAXQDA: Text …,"… Von qualitativen Daten zu unterscheiden ist der in der … Solche Daten werden häufig auch 
als kategoriale Variablen … , ansonsten aber das Interview völlig offen gestalten will. Technisch …"
M Franke,,Methoden zur Sicherstellung der Daten-und Informationsqualität bei der Implementierung und dem Betrieb von Enterprise Resource Planning-Systemen in …,isq.uni-koeln.de,"… an den Publikationen der einschlägigen, qualitativ hochwertigen Journale aus dem Bereich 
… Datenhaltung und die Bereitstellung von unternehmensweiten Daten und zum anderen die …"
I Medjedovi,2022,Qualitative Daten für die Sekundäranalyse,Handbuch Methoden der empirischen Sozialforschung,"… Daten nutzen, sollten sie sich ihrer Verantwortung gegenüber denjenigen, die sie zum „Objekt“ 
der Forschung erklären, bewusst sein und vertraulich mit diesen Daten umgehen. …"
O Watteler,2022,Daten in den Sozialwissenschaften,Forschungsstrategien in den Sozialwissenschaften …,"… Was das Angebot von Sekundärdaten für die sozialwissenschaftliche Forschung angeht, so 
… vielen Fällen qualitativ hochwertiges Angebot aufgebaut. Da die Beschreibungen der Daten …"
D Paderta,2012,Open Data-Raumbezogene Daten,D Paderta - 2012 - ssoar.info,"… Begriff Open Data dann verwendet wenn das Konzept Open Data gemeint ist. Unter Open 
Government Data werden Daten des öffentlichen Sektors verstanden, die unter die Open Data …"
"D Bambey, M Rittberger",2013,Das Forschungsdatenzentrum (FDZ) Bildung des DIPF. Qualitative Daten der empirischen Bildungsforschung im Kontext,Forschungsinfrastrukturen für die qualitative …,"… Frage, inwiefern nicht die Nachnutzung von vorhandenen Video- und Tondaten der … Daten 
innerhalb einer modularen Systemarchitektur. Mit Blick auf einen möglichst großen Nutzen …"
"MA Kellert, J Gröber, D Hofäcker",2023,"2.1 Methodische, methodologische und fachspezifische Perspektiven auf die Nutzung quantitativer Daten in bildungswissenschaftlichen Disziplinen",Quantitative Daten in …,"… Daten–und natürlich auch mit der Nutzung qualitativer Daten… Basierend auf diesen 
repräsentativen Daten können die … tativen Daten wissen sie nun statistisch belastbar, wie vielen …"
"C Albrecht, C Cheng, C Hainz, L Messerschmidt",2021,"CoronaNet meets DICE: Sammlung, Systematisierung und Visualisierung von Daten zu staatlichen Maßnahmen gegen die Covid-19-Pandemie",ifo Schnelldienst,"… brauchen Zugang zu qualitativ hochwertigen, detaillierten und aktuellen Daten über diese 
… Werkzeuge, die ihnen helfen, diese Daten sinnvoll zu nutzen, damit sie die neu eingeführten …"
"R Hefendehl, J Bach",,Wissenschaftliche Beiträge Die erzwungene Digitalisierung: Daten und Deutungen,scholar.archive.org,"… Aus Dozierendenperspektive ermöglicht die Bereitstellung digitaler Materialien etwa, die … 
genutzt werden, Informationen mit anderen zu teilen bzw. sich gemeinsam mit anderen zu …"
"HW Schenke, P Lemenkova",2008,Zur frage der meeresboden-kartographie: Die nutzung von autotrace digitizer für die vektorisierung der bathymetrischen daten in der Petschora-See,Hydrographische Nachrichten,"… HAL is a multi-disciplinary open access archive for the … der Ergebnisdatei eine qualitativ 
hochwertige Vektordarstellung … aktualisiert oder auch nur in Teilen verändert werden. Außerdem …"
"M Klotz, M Wurm, H Taubenböck",2015,Der Werkzeugkasten der urbanen Fernerkundung–Daten und Produkte,Globale Urbanisierung: Perspektive …,"… lokalr bis globaler fernerkundlicher Daten und Produkte im urbanen … qualitativ hochwertiger 
Werkzeuge bereit stellen werden. … ist, neben der Bereitstellung von Daten in einem höheren …"
C Wiljes,2018,PUB und PEVZ als Linked Data-Visualisierung der Daten,Kolloquium Wissensinfrastruktur,"… (Open Science) ein, dass „wissenschaftliche Erkenntnisse jeglicher Art offen geteilt werden 
… ► Das überlebende Filmmaterial besteht aus qualitativ geringer wertigen Fassungen, die …"
