key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1077012264,Recognition of students' abnormal behaviors in English learning and        analysis of psychological stress based on deep learning,2022,11,22,FRONTIERS IN PSYCHOLOGY,1664-1078,13,,,"Lu, MM and Li, D and Xu, F and Lu, Mimi and Li, Dai and Xu, Feng",,English,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","The recognition of students' learning behavior is an important method to grasp the changes of students' psychological characteristics, correct students' good learning behavior, and improve students' learning efficiency. Therefore, an automatic recognition method of students' behavior in English classroom based on deep learning model is proposed. The deep learning model is mainly applied to the processing of English classroom video data. The research results show that the video data processing model proposed in this paper has no significant difference between the data obtained from the recognition of students' positive and negative behaviors and the real statistical data, but the recognition efficiency has been significantly improved. In addition, in order to verify the recognition effect of the deep learning model in the real English classroom environment, the statistical results of 100 recognition result maps are compared with the results of manual marking, and the average recognition accuracy of 100 recognition effect maps is finally obtained, which is 87.33%. It can be concluded that the learning behavior recognition model proposed in this paper has a high accuracy and meets the needs of daily teaching. It further verifies that the developed behavior recognition model can be used to detect students' behavior in English class, which is very helpful to analyze students' psychological state and improve learning efficiency.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.3389/fpsyg.2022.1025304,Learning,,
rayyan-1077012265,Positioning video in classroom research: Ontological and epistemic        tensions,2022,12,,LEARNING CULTURE AND SOCIAL INTERACTION,2210-6561,37,,,"Chan, MCE and Jazby, D and Chan, Man Ching Esther and Jazby, Dan",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","While the use of video as a data collection tool in classroom-based research is widespread, a tension exists between different approaches to the use of video as a research tool. Researchers vary in the ontological status that they afford video footage and the way they use footage to construct knowledge claims. This paper presents a set of metaphors that describe how video may be positioned in research projects in order to identify the ontological status afforded video data and the epistemic implications this entails. We argue that the different ways that video is posi-tioned in projects lead to the footage collected having different ontological status and we present three illustrative example projects to exemplify these differences. Applying the metaphors to the example projects reveals a tension between the researchers' carefully constructed framing of ontological and epistemic positions. Our analysis suggests that using footage as evidence to support knowledge claims privileges an ontological and epistemic position which views video footage as a replayable record of sense data, align with a positivist position. In each illustrative project, the ontological status of footage was layered - it was both an objective record of activities of interest, but also was treated as a subjective and fallible data source when used to construct claims about teacher experience. Our analysis highlighted the complexity in the use of the video as a research tool for classroom research and the need for more nuanced ontological and epistemic understanding to make informed decisions in research design and to support knowledge claims.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: methodological",10.1016/j.lcsi.2022.100669,CONSTRUCTION;KNOWLEDGE,,
rayyan-1077012266,Race talk tensions: practicing racial literacy in a fourth-grade        classroom,2023,3,20,ENGLISH TEACHING-PRACTICE AND CRITIQUE,1175-8708,22,1,61-78,"Daly, A and Daly, Annie",,English,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","PurposeThere is a pressing need to teach students how to talk critically about race to understand the personal and political implications of racism in the contemporary US society. Classroom race talk, however, often includes moments of discomfort or confusion as teachers and students navigate new norms for making sense of race and racism. The purpose of this paper is to examine how one white teacher and her multiracial class of fourth-grade students navigated race talk tensions while reading and discussing shared texts. Design/methodology/approachData for this paper were collected as part of a larger, year-long qualitative study on antiracist pedagogy. In this paper, the author analyzes video data of classroom race talk recorded during whole-class and small-group literacy lessons. Using inductive coding and reconstructive critical discourse analysis, the author examines how the teacher and students co-constructed meaning during tense or confusing conversational moments. FindingsThe findings demonstrate that the teacher and students jointly mediated tensions by using the practices of racial literacy, which included learning about the history of racial inequality in the USA, considering racism as structural and systemic rather than individual and asking and answering questions for continued inquiry and critical self-reflection. While previous research studies have characterized race talk tensions as problems or obstacles to student learning, the findings from this study suggest that tensions can be generative to developing and enacting racial literacy. Originality/valueIn the current political climate, alarmist rhetoric issued by conservative politicians and media outlets has discredited race talk as harmful or damaging to children. This study offers a positive reframing of tensions, which may provide teachers encouragement to pursue literacy instruction that equips students with knowledge and skills to better understand and confront racism.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1108/ETPC-02-2022-0028     EA DEC 2022,WHITENESS;EDUCATION;JUSTICE;Continental Population Groups,,
rayyan-1077012267,"Investigating scientific modeling practices in US and German elementary        science classrooms: A comparative, cross-national video study",2023,3,,SCIENCE EDUCATION,0036-8326,107,2,368-400,"Boschl, F and Forbes, C and Lange-Schubert, K and Boeschl, Florian and Forbes, Cory and Lange-Schubert, Kim",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Science education reform efforts have emphasized the incorporation of more authentic and meaningful scientific practices into formal learning environments. With this focus on practices, such as scientific modeling, a powerful tool for sense-making and reasoning, comes a need to observe and understand if and how it is actually occurring, particularly in elementary science learning environments. To address this need, and moving forward an international, collaborative research effort centered around scientific modeling, we undertook a cross-national observational study in which we used an observation protocol to characterize scientific modeling practices in elementary classrooms in both the United States and Germany. Drawing on existing video-based datasets from multiple projects, this study's findings provide empirical evidence for model-based teaching and learning and explore the relative frequencies of relevant modeling subpractices (i.e., construction, use, evaluation, and revision of scientific models) in regular, day-to-day elementary science classrooms. This study also illustrates the differences and similarities between German and American science instruction. In general, students in both countries experience model construction more often than other modeling practices. German teachers more consistently foreground anchoring phenomena and students' questions/preconceptions as part of the modeling process, thus leading to slightly higher overall modeling scores-despite a complete lack of model evaluation and revision in any of the observed German classrooms. Ultimately, however, young learners in both nations seem to experience alarmingly little opportunities to engage in any of the modeling subpractices. Particularly in terms of modeling as a means to make sense of phenomena, constrained by teachers most commonly using finished representations (i.e., models) of phenomena and processes to teach science/deliver content. Our results indicate the need for a greater focus on all scientific modeling subprocesses, particularly the integration of scientific modeling with already established, more general (e.g., inquiry-based) strategies for effective science teaching and an emphasis on actualizing modeling as an authentic sense-making endeavor.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: re-use",10.1002/sce.21780     EA DEC 2022,TEACHERS CONCEPTIONS;STUDENTS;KNOWLEDGE;INSTRUCTION;STABILITY;INQUIRY,,
rayyan-1077012268,Is there an increase over time in the complexity of teacher questions        and student responses in case-based clinical seminars? A cross-sectional        video study,2022,12,15,BMC MEDICAL EDUCATION,,22,1,,"Gartmeier, M and Hapfelmeier, A and Grunewald, M and Hausler, J and Pfurtscheller, T and Seidel, T and Berberat, P and Gartmeier, Martin and Hapfelmeier, Alexander and Gruenewald, Marc and Haeusler, Janina and Pfurtscheller, Theresa and Seidel, Tina and Berberat, Pascal",,English,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Background: Case-based group discussions (CBGD) are a specific, interaction-focused format dedicated to fostering medical students' skills in applying basic biomedical knowledge to patient cases. Existing conceptions of CBGD suggest that a gradient towards increased opportunities for students to make elaborative verbal contributions is an important element of such seminars. To verify this assumption, we investigate empirically if clinical teachers progress from more basic, knowledge-oriented questions towards more advanced, elaboration-oriented questions in such seminars. Methods: We videotaped 21 different clinical teachers and 398 medical students in 32 CBGD-seminars on surgery and internal medicine. We coded closed-reproductive and open-elaborative teacher questions as well as reproductive and elaborative student responses to these questions. Inter-rater reliability was satisfactory. To determine trends regarding the teacher questions / student responses, we compared eight time-segments of equal duration per seminar. Results: Overall, clinical teachers asked more closed-reproductive than open-elaborative questions. Students gave more reproductive than elaborative responses. Regarding the frequencies of these forms of teacher questions / student responses, we found no significant differences over time. Conclusions: Clinical teachers did not deliberately modify the types of questions over time to push students towards more elaborative responses. We conclude that the critical question to which degree promising teaching approaches are actually put into clinical teaching practice should be raised more purposefully in medical education research.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1186/s12909-022-03944-0,Cesarean Section,,
rayyan-1077012269,"Social change, cultural evolution, weaving apprenticeship, and        development: informal education across three generations and 42 years in        a Maya community",2022,"",DEC,APPLIED DEVELOPMENTAL SCIENCE,1088-8691,,,,"Maynard, AE and Greenfield, PM and Childs, CP and Weinstock, M and Maynard, Ashley E. E. and Greenfield, Patricia M. M. and Childs, Carla P. P. and Weinstock, Michael",,English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","Analyzing three sets of video data collected in one Maya community, we examined apprenticeship and learning of backstrap loom weaving over three generations spanning the years 1970 to 2012. Like many cultural groups, the Maya of Chiapas are experiencing rapid sociodemographic shifts. Three generations of girls (N = 134) were observed at their looms: in the 1970 subsistence economy; in the transition to a commercial economy in the 1990s; and in 2012, when the commercial economy required formal education. Multilevel models showed that intergenerational sociodemographic change - increased time in school, greater involvement in the money economy, and decreased family size - changed weaving apprenticeship, which, in turn, was related to changes in characteristics of learners. In 2012, weaving learners received more explanations, praise, and body instruction from their teachers. Learners, in turn, asked more questions. However, these changes came at a cost - the gradual loss of weaving as an everyday subsistence practice and art form. Tracing intergenerational change over three generations, this study makes a unique contribution to an understanding of cultural evolution.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1080/10888691.2022.2151445     EA DEC 2022,COGNITIVE REPRESENTATION;CHILDRENS QUESTIONS;ARAB COMMUNITIES;SOCIETAL CHANGE;FAMILY;ACQUISITION;CHILDHOOD;MOTHERS;VALUES;URBANIZATION,,
rayyan-1077012270,Explicit instruction on procedural and epistemic knowledge - is it        happening? A video-based exploration of classroom practice,2022,"",DEC,RESEARCH IN SCIENCE & TECHNOLOGICAL EDUCATION,0263-5143,,,,"Vorholzer, A and Petermann, V and Weber, J and zu Belzen, AU and Tiemann, R and Vorholzer, Andreas and Petermann, Verena and Weber, Joe and zu Belzen, Annette Upmeier and Tiemann, Ruediger",,English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","BackgroundInquiry-based instruction is a prominent teaching strategy in science education that is assumed to be an effective means to foster not only students' understanding of science content but also their procedural and epistemic knowledge concerning inquiry processes. Empirical studies have repeatedly shown that inquiry-related activities should be combined with instruction that explicitly addresses procedural and epistemic knowledge to support students' learning effectively.PurposeThe aim of this study is to explore to what extent explicit instruction on procedural and epistemic knowledge is occurring in inquiry-based biology and chemistry lessons.SampleThe sample analysed in this study consist of 16 inquiry-based biology and chemistry lessons recorded in German classrooms.Design and MethodsThe video recordings of the lessons were analysed in three steps. First, event-based codes were used to identify all phases of a lesson in which students were engaged in an inquiry-related activity (e.g. developing questions, planning investigations). Second, each phase was analysed with respect to features of explicit instruction (e.g. explications of inquiry strategies). Third, event-based codes were used to capture individual features of explicit instruction in a phase.ResultsIn our sample explicit instruction on procedural knowledge occurred rarely and mostly in the form of brief sidenotes rather than as a comprehensive and deliberately planned action. Furthermore, explicit instruction on epistemic knowledge was virtually non-existent. However, we observed that many tasks and questions that are given by the teachers during their lessons have a high potential for making procedural (and epistemic) aspects explicit.ConclusionWhile this explorative study does not allow for causal explanations for the lack of explicit instruction, its findings provide important insights into classroom practice. Implications for teacher education and future research are discussed.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1080/02635143.2022.2153245     EA DEC 2022,INQUIRY-BASED INSTRUCTION;OF-VARIABLES STRATEGY;SCIENTIFIC INQUIRY;CHILDRENS ACQUISITION;SCIENCE;VIEWS;TEACHERS;SKILLS,,
rayyan-1077012271,Primary students' learning about citizenship through data science,2023,"",JAN,ZDM-MATHEMATICS EDUCATION,1863-9690,,,,"Makar, K and Fry, K and English, L and Makar, Katie and Fry, Kym and English, Lyn",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY","Much of the mathematics that children experience in school neglect the skills increasingly needed for citizenship, particularly the power of complex data to investigate and make sense of the world. We draw on the relatively new field of data science as a multi-disciplinary approach to investigate problems through analysis of massive, non-standard, incongruous and/or messy data. Our exploratory qualitative study had as its research question: What can children learn about citizenship when they engage with data science? The case study in this paper illustrated ways that children's learning about citizenship were enriched through an age-appropriate data science investigation. The study analysed classroom video from a Year 4 classroom (aged 9-10) over six lessons that integrated curricula in digital technologies, health, and mathematics. In these lessons, the children generated and analysed non-standard data and debated social, well-being and privacy issues as they considered their activities in cyberspace. The video data were analysed using a framework based on critical citizenship education literature that examined dimensions of power, collective engagement, individual responsibility and action. Three key findings emerged. First, the case study highlighted skills in citizenship education developed through data science, positioning children as agents and advocates. Second, the study showed how a complex data investigation in citizenship education was achievable with primary children through meaningful curriculum integration. This is important given that problems that citizens address are typically interdisciplinary. Finally, the findings revealed a gap between data science skills and those developed in the mathematics curriculum, and recommend ways that the maths curriculum could be updated.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1007/s11858-022-01450-7     EA JAN 2023,FRAMEWORK;Learning,,
rayyan-1077012272,Sustainable translanguaging pedagogy in support of the vulnerable        language: honoring children's ways of 'Showing' and 'Telling' in an        early childhood dual language bilingual education program,2023,9,14,INTERNATIONAL JOURNAL OF BILINGUAL EDUCATION AND BILINGUALISM,1367-0050,26,8,928-942,"Sembiante, SF and Restrepo-Widney, C and Bengochea, A and Gort, M and Sembiante, Sabrina F. F. and Restrepo-Widney, Catherine and Bengochea, Alain and Gort, Mileidis",,English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","Show-and-Tell activity provides emergent bilingual (EB) children with an opportunity to engage oral language skills to support their developing bi/literacy. In dual language bilingual education (DLBE) preschool programs, teachers utilize translanguaging practices to facilitate communication, scaffold learning, and encourage participation. Using a sustainable translanguaging lens, we explore English- and Spanish-language model teachers' pedagogical choices in Show-and-Tell in support of children's Show-and-Tell purposes and practices. Video data were analyzed for discourse- and content-related codes to examine teachers' discursive and translanguaging choices and presenters' languaging practices during Show-and-Tell. Qualitative analyses revealed that teachers' translanguaging choices vary in response to the language context (i.e. teacher's designated language of instruction and the target language of the Show-and-Tell) and to children's languaging practices (i.e. choice of language, amount of unprompted talk, purpose of presentation, degree of peer involvement). Given the vulnerable status of Spanish as the minoritized language in an English-majority culture, teachers sustained the use and modeling of Spanish in Spanish Show-and-Tell while integrating Spanish as a supportive resource in English Show-and-Tell. Findings suggest implications for how teachers can protect minoritized languages within DLBE preschool programs while valuing children's authentic translanguaging practices and building on children's understanding language functions and forms in each language.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1080/13670050.2022.2161814     EA JAN 2023,QUESTIONS;CLASSROOM;SPACES;Only Child;Child,,
rayyan-1077012273,An explanatory study of kindergarten teachers? teaching behaviours in        their visual arts classrooms,2023,4,,TEACHING AND TEACHER EDUCATION,0742-051X,124,,,"Leung, SKY and Wu, J and Lam, Y and Ho, TH and Leung, Suzannie K. Y. and Wu, Joseph and Lam, Yung and Ho, Tung-Hei",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","This study aimed at using a mixture of direct observations and interviews to investigate kindergarten teachers' knowledge and pedagogical approaches to visual arts. An adapted version of the Early Child-hood Teacher Behaviour Observation (ECTBO) instrument was used to investigate the possible reasons for teachers' current behaviours in Hong Kong visual arts classrooms. In an observation study, a total of 18 classrooms with 76 children in two local kindergartens in Hong Kong were observed during a 30-min visual arts activity. Altogether, 540 min of video data were recorded and analysed using field notes and a time sampling strategy. In addition, 18 class teachers from the observed classrooms were invited to give post-observation interviews, and 810 min of data were recorded. The interview participants supported the importance of non-directive early childhood arts. However, the observation findings revealed that they still relied heavily on directive teaching in implementing early visual arts teaching. Thus, a discrepancy was found between the teachers' subject matter knowledge in visual arts and the integration of their pedagogies in their actual classroom practice. The findings of this study in a local setting have the potential to significantly change the way in which early childhood visual arts teaching is conceptualised and discussed in international contexts.(c) 2023 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1016/j.tate.2023.104018     EA JAN 2023,EARLY-CHILDHOOD TEACHERS;HONG-KONG;BELIEFS;PEDAGOGY;EXPERIENCE;CREATIVITY;EDUCATION;LITERACY;CYCLE,,
rayyan-1077012274,Makerspace activities in a school setting: Top-down and bottom-up        approaches for teachers to leverage pupils' making in science education,2023,4,,LEARNING CULTURE AND SOCIAL INTERACTION,2210-6561,39,,,"Morch, AI and Flo, EE and Litherland, KT and Andersen, R and Morch, Anders I. and Flo, Ellen E. and Litherland, Kristina T. and Andersen, Renate",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","This article addresses the opportunities and challenges of turning a science, technology, engi-neering, and mathematics (STEM) classroom into a makerspace for hands-on experimentation with digital tools and materials in science education. In this qualitative case study, over a period of 16 weeks, video data were collected during making activities in an advanced placement science course with 19 pupils aged 12-16 years, and interviews were conducted. We combined thematic and interaction analyses of empirical data and identified three themes: 1) engagement and spontaneous concepts, 2) programming and making physical objects, and 3) subject integration. Our conceptual framework for the analyses integrated two features of the Vygotskian sociocul-tural theory of learning: concept development as a dialectical process of scientific and everyday concepts and the ""tool and symbol"" duality. Our findings show that both top-down and bottom-up approaches to integrating school subjects into a makerspace were effective but underused. We illustrate this by mapping pupils' shared understanding in a sociotechnical space, visualized as a process of ""rising to the concrete"", which may require teacher's scaffolding at different levels of abstraction and use of instructional materials in different modalities.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1016/j.lcsi.2023.100697     EA FEB 2023,KNOWLEDGE;EXPERIENCES;TECHNOLOGY;CIRCUITRY;CONCRETE;Pupil,,
rayyan-1077012275,Behavioral engagement in classroom - An analysis of the generalizability        and dependability of video observations,2023,4,,ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,1010-0652,37,3,157-171,"Troll, B and Pietsch, M and Besser, M and Troll, Bianka and Pietsch, Marcus and Besser, Michael",,German,HOGREFE AG-HOGREFE AG SUISSE,"LANGGASS STRASSE 76, BERN, SWITZERLAND","This student-centered video study examines the generalizability and reliability of video observations of behavioral engagement of students, taking into account the active work phases (partner work, group work, plenary) of a third year primary school class (N = 20 students). We used an adapted version of the Munich Attention Inventory (Helmke & Renkl, 1992) to assess the behavioral engagement of all learners during the active work phases in one-second intervals by four independent raters. In educational psychology, video studies are often used to describe and analyze classroom processes - although they are considered as being very resource-intensive and costly. Therefore, in order to enable efficient and economical design planning of studies this study investigates up to how many seconds the behavioral engagement of students can be reliably observed. In line with our expectations, the results of the G-Study show that individual learners variance explanation was 18.85% across all work phases. The time in seconds (2.67%) explains only a marginal part of the variance. There remains a large proportion of unexplained residual variance (78.48%). The reliability coefficient with f = .99 is very good due to common standards. The decision study (D-Study) shows that results are reliable even when observing just 30 seconds (f = .87). The results indicate that student-centered video analyses offer a valuable way to capture the behavioral engagement of all students, in that information on all learners is available throughout the entire lesson. The results also contribute to an economic design of student-centered video studies on behavioral engagement.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1024/1010-0652/a000286,MEASURING STUDENT ENGAGEMENT;SCHOOL;INSTRUCTION;QUALITY,,
rayyan-1077012276,"Exploring the relationships between teacher noticing, ambisonic audio,        and variance in focus when viewing 360 video",2023,6,,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,1042-1629,71,3,881-899,"Ferdig, RE and Kosko, KW and Gandolfi, E and Ferdig, Richard E. and Kosko, Karl W. and Gandolfi, Enrico",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","A growing body of research has supported the implementation of innovative and immersive video for teaching and learning across the lifespan. Immersive video, delivered through eXtended Reality (XR) tools like 360 video, provides users with new ways to see real or created environments. Unfortunately, most of the existing research has highlighted immersive video without accompanying immersive audio. This use of monophonic audio can create a disconnect for viewers as they experience close to real world video with sounds that do not match a real-world environment. The purpose of this study was to respond to this gap in the literature by exploring the use of ambisonic audio and its impact on preservice teacher noticing and variability of viewing focus when watching 360 video. Data were collected from undergraduate teacher education students who participated in a self-paced online activity that included watching 360 videos and responding to a questionnaire. A convergent mixed methods design was employed to compare participants' professional noticing and observed viewing behavior in the context of ambisonic and monophonic audio. Results showed that users in ambisonic audio conditions in 360 video environments were more likely to have higher focus. Moreover, for users who had specific professional knowledge, monophonic audio with immersive video had a negative impact on their variance in focus. The paper concludes with recommendations for future research on the use of audio in virtual and augmented reality environments.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no video data",10.1007/s11423-023-10215-2     EA APR 2023,DUAL-CODING THEORY;IMMERSIVE AUDIO;QUALITY;VISION,,
rayyan-1077012277,Using video-elicitation focus group interviews to explore pre-service        science teachers' views and reasoning on artificial intelligence,2023,"",APR,INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,0950-0693,,,,"Karahan, E and Karahan, Engin",,English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","Using video-elicitation focus group interviews, this study aims to reveal pre-service science teachers' perspectives and reasoning on artificial intelligence as a socioscientific issues-based scenario. Hence, it illustrates the ways the video data were used in the focus group elicitation interviews to understand their interpretations of how their beliefs align with a hypothetical future scenario around artificial intelligence. To demonstrate the phenomenon in depth, a case study design was used. The participants of the study involved 45 third and fourth-year undergraduate students enrolled in a science teacher education programme. For this study, the researcher conducted six open-ended, unstructured video-elicitation focus group interviews. The data was analysed using Dey's (1993. Qualitative data analysis: A user-friendly guide for social scientists. Routledge) qualitative analysis steps of description, qualification, and association. The findings indicated that the participants' views and reasoning vary in the context of artificial intelligence technologies. The fictional scenario depicted in the video-elicitation interviews both helped and challenged them to share their perspectives on the issue. Moreover, several aspects of SSI were thoroughly discussed during the interviews.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no video data",10.1080/09500693.2023.2200887     EA APR 2023,SOCIO-SCIENTIFIC ISSUES;SOCIOSCIENTIFIC ISSUES;DELIBERATIVE DEMOCRACY;DECISION-MAKING;EDUCATION;ARGUMENTATION;KNOWLEDGE;FRAMEWORK;GENETICS;CONTEXT;Focus Groups;Intelligence,,
rayyan-1077012278,Testing of the Facial Expression Coding System (FACES) for middle        school-aged special education students and development of a training        protocol,2023,7,,INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,0165-0254,47,4,366-373,"Flynn, E and Motiff, M and Mueller, MK and Morris, KN and Flynn, Erin and Motiff, Marisa and Mueller, Megan K. and Morris, Kevin N.",,English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","Emotion regulation is a key developmental skillset, but many existing measures rely on self-report or laboratory-based measurement approaches. This study aimed to develop a training and implementation protocol for the widely used Facial Expression Coding System (FACES) to be used in real-world settings with pre-recorded video data. A revised coding system with supplemental guidelines and training procedures was developed to use FACES with video data recorded in special education classrooms. This system resulted in adequate interrater reliability as well as reduced training time for coders. Specific training methods included close study of code definitions, coding of practice video, quantitative analysis of observation data to generate interrater agreement and kappa statistics, review of comparison charts to identify discrepancies between coder and training observations using the Noldus Observer XT software, and post-observation discussions. The revised FACES protocol and new training method presented here offer a more robust, efficient, and versatile tool that can be applied to systematic behavior observations conducted of students in real-world classroom settings.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: methodological",10.1177/01650254231167313     EA APR 2023,EMOTION REGULATION;VALIDATION;DYSREGULATION;DIFFICULTIES;SPECTRUM;FUTURE;WOMEN;MODEL,,
rayyan-1077012279,Negotiating frame disputes in teacher discourse: vignettes of        accountability and opportunities for learning,2023,7,4,PROFESSIONAL DEVELOPMENT IN EDUCATION,1941-5257,49,4,765-780,"Tiong, ND and Tiong, Ngee Derk",,English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","The on-the-job collaborative discourse of teachers is said to offer promising insights into the implicit processes of teacher learning and socialisation (Lefstein et al. 2020). Building on existing theory and research, this article examines diagnostic frame disputes in teachers' discussions that involve the negotiation of contradictions between external expectations and teachers' own frames of reference. This phenomenon is illustrated using two purposively-sampled vignettes, drawn from video data generated in two Malaysian secondary schools in 2019. In both vignettes, teachers work to reconcile the discrepancies between how student learning problems are framed by external accountability measures, as well as how the teachers interpret those problems locally, leading to disputes about how to frame those problems. The analysis presents an empirical illustration of how teachers negotiate situated meaning, shedding light on how they interpret and respond to accountability pressures on their practice. Implications for policy and practice are discussed.","RAYYAN-INCLUSION: {""Jürgen""=>""Excluded"", ""Juergen""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no video data",10.1080/19415257.2023.2203156     EA APR 2023,CLASSROOM PRACTICE;TACIT KNOWLEDGE;MICROPOLITICS;PARADIGMS;LESSON,,
rayyan-1077012280,Student mistakes and teacher reactions in bedside teaching,2023,"",MAY,ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,,,,"Rubisch, HPK and Blaschke, AL and Berberat, PO and Fuetterer, CS and Haller, B and Gartmeier, M and Rubisch, Hannah P. K. and Blaschke, Anna-Lena and Berberat, Pascal O. and Fuetterer, Cornelia S. and Haller, Bernhard and Gartmeier, Martin",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","We analyse interactions between teachers and students during video-recorded bedside teaching sessions in internal medicine, orthopaedics and neurology. Multiple raters used a high-inference categorical scheme on 36 sessions. Our research questions concern the types of student mistakes, clinical teachers' reactions to them and if they use different strategies to address different types of mistakes. We used a Poisson model and generalized mixed models to analyse these research questions. Most frequently, students made reproduction mistakes. Relatively high rates of rejection and a similar prevalence of low and high levels of elaboration and correction time for students were observed. Reproduction mistakes were associated with the highest level of rejection and the lowest level of elaboration. High levels of elaboration were observed when students were applying skills in new situations. Students were most often allowed time to correct when mistakes in the areas of analysis or application of skills and knowledge had occurred. There is a decrease in the rate of making mistakes for neurology and orthopaedics compared to internal medicine. Reproduction mistakes influence significantly the outcome feedback compared to application mistakes. Analytic and reproduction mistakes influence elaboration significantly compared to application mistakes. We found a significant effect whether the lecturer allows time for correction of reproduction mistakes compared to application mistakes. These results contribute to the understanding of interactive, patient-centred clinical teaching as well as student mistakes and how teachers are reacting to them. Our descriptive findings provide an empirical basis for clinical teachers to react to student mistakes in didactically fruitful ways.","RAYYAN-INCLUSION: {""Jürgen""=>""Included"", ""Juergen""=>""Included""}",10.1007/s10459-023-10233-y     EA MAY 2023,MEDICAL-EDUCATION;PSYCHOLOGICAL SAFETY;ERROR;CONSTRUCTION;FEEDBACK;BEHAVIOR;ROUNDS,,
